,CITY_JIDT_CD_NM,CTS_JIDT_CD_NM,WT_TYPE_GB_NM,WSTE_M_CODE_NM,WSTE_CODE_NM,WSTE_QTY,TOT_RECY_QTY,TOT_INCI_QTY,TOT_FILL_QTY,TOT_ETC_QTY,PUB_RECY_QTY,PUB_INCI_QTY,PUB_FILL_QTY,PUB_ETC_QTY,SELF_RECY_QTY,SELF_INCI_QTY,SELF_FILL_QTY,SELF_ETC_QTY,COM_RECY_QTY,COM_INCI_QTY,COM_FILL_QTY,COM_ETC_QTY,year
0,전국,합계,합계,EMPTY,EMPTY,45912.1,25887.2,13101.4,6753.5,170.0,10598.1,11688.5,6380.7,63.4,89.9,1.3,2.7,1.1,15199.2,1411.6,370.1,105.5,2019
1,전국,합계,종량제방식 등 혼합배출,소계,EMPTY,20971.1,2227.1,12205.1,6447.8,91.1,1710.4,11164.0,6107.7,45.8,0.0,0.0,0.0,0.0,516.7,1041.1,340.1,45.3,2019
2,전국,합계,종량제방식 등 혼합배출,가연성,소계,18031.9,2062.9,11310.9,4575.4,82.7,1590.7,10335.5,4302.5,39.4,0.0,0.0,0.0,0.0,472.2,975.4,272.9,43.3,2019
3,전국,합계,종량제방식 등 혼합배출,가연성,폐지류,4870.2,429.9,3214.5,1220.5,5.3,386.4,2994.2,1145.6,5.3,0.0,0.0,0.0,0.0,43.5,220.3,74.9,0.0,2019
4,전국,합계,종량제방식 등 혼합배출,가연성,폐합성수지류,4416.5,578.3,2755.2,1078.2,4.8,464.3,2377.5,1005.5,4.5,0.0,0.0,0.0,0.0,114.0,377.7,72.7,0.3,2019
5,전국,합계,종량제방식 등 혼합배출,가연성,폐고무류,511.9,101.2,322.4,88.1,0.2,99.8,302.8,71.6,0.2,0.0,0.0,0.0,0.0,1.4,19.6,16.5,0.0,2019
6,전국,합계,종량제방식 등 혼합배출,가연성,폐섬유류,880.9,56.1,622.3,201.8,0.7,46.5,598.1,195.5,0.7,0.0,0.0,0.0,0.0,9.6,24.2,6.3,0.0,2019
7,전국,합계,종량제방식 등 혼합배출,가연성,음식물류 폐기물,1408.7,114.5,934.1,312.9,47.2,86.1,887.8,290.0,20.1,0.0,0.0,0.0,0.0,28.4,46.3,22.9,27.1,2019
8,전국,합계,종량제방식 등 혼합배출,가연성,폐목재류,1186.0,281.8,744.2,151.6,8.4,60.1,705.4,133.1,0.5,0.0,0.0,0.0,0.0,221.7,38.8,18.5,7.9,2019
9,전국,합계,종량제방식 등 혼합배출,가연성,기타,4757.7,501.1,2718.2,1522.3,16.1,447.5,2469.7,1461.2,8.1,0.0,0.0,0.0,0.0,53.6,248.5,61.1,8.0,2019
10,전국,합계,종량제방식 등 혼합배출,불연성,소계,2405.4,134.8,762.0,1503.4,5.2,107.8,705.4,1468.5,5.2,0.0,0.0,0.0,0.0,27.0,56.6,34.9,0.0,2019
11,전국,합계,종량제방식 등 혼합배출,불연성,폐금속류,435.4,31.3,210.2,193.5,0.4,22.4,198.9,189.6,0.4,0.0,0.0,0.0,0.0,8.9,11.3,3.9,0.0,2019
12,전국,합계,종량제방식 등 혼합배출,불연성,폐유리류,612.4,42.2,257.5,311.8,0.9,37.5,241.2,308.0,0.9,0.0,0.0,0.0,0.0,4.7,16.3,3.8,0.0,2019
13,전국,합계,종량제방식 등 혼합배출,불연성,폐토사류,196.1,8.5,35.8,151.8,0.0,3.2,33.7,150.5,0.0,0.0,0.0,0.0,0.0,5.3,2.1,1.3,0.0,2019
14,전국,합계,종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,142.1,3.4,10.7,128.0,0.0,2.4,10.3,120.6,0.0,0.0,0.0,0.0,0.0,1.0,0.4,7.4,0.0,2019
15,전국,합계,종량제방식 등 혼합배출,불연성,연탄재,143.5,15.0,10.9,114.5,3.1,13.4,9.4,112.4,3.1,0.0,0.0,0.0,0.0,1.6,1.5,2.1,0.0,2019
16,전국,합계,종량제방식 등 혼합배출,불연성,기타,875.9,34.4,236.9,603.8,0.8,28.9,211.9,587.4,0.8,0.0,0.0,0.0,0.0,5.5,25.0,16.4,0.0,2019
17,전국,합계,종량제방식 등 혼합배출,건설폐재류,EMPTY,250.2,9.3,62.0,176.9,2.0,2.7,61.0,168.6,0.0,0.0,0.0,0.0,0.0,6.6,1.0,8.3,2.0,2019
18,전국,합계,종량제방식 등 혼합배출,기타(배출불명등),EMPTY,283.6,20.1,70.2,192.1,1.2,9.2,62.1,168.1,1.2,0.0,0.0,0.0,0.0,10.9,8.1,24.0,0.0,2019
19,전국,합계,재활용 가능자원 분리배출,소계,EMPTY,11802.2,10927.8,658.6,157.0,58.8,2590.1,296.9,128.7,12.4,0.0,0.1,0.1,0.0,8337.7,361.6,28.2,46.4,2019
20,전국,합계,재활용 가능자원 분리배출,폐지류,종이팩,473.5,473.5,0.0,0.0,0.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.4,0.0,0.0,0.0,2019
21,전국,합계,재활용 가능자원 분리배출,폐지류,기타,3015.7,3015.7,0.0,0.0,0.0,217.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2798.2,0.0,0.0,0.0,2019
